horizon,lead,lagging,lag,rho,rho_without_shock,share_of_rho_from_the_shock,survives,survives_without_shock
1d,GBPUSD,EURJPY,7,-0.027082,-0.027955,-0.0322,False,False
1d,NZDUSD,EURUSD,7,-0.027056,-0.027155,-0.0037,False,False
1d,AUDUSD,USDJPY,12,-0.026738,-0.025884,0.0319,False,False
1d,AUDJPY,USDJPY,10,-0.026643,-0.024296,0.0881,False,False
1d,USDCAD,EURUSD,6,0.026246,0.02653,-0.0108,False,False
1d,USDCHF,EURUSD,11,0.026243,0.022788,0.1317,False,False
1d,USDCHF,USDJPY,5,-0.026137,-0.013129,0.4977,False,False
1d,AUDJPY,EURJPY,2,0.025999,0.025693,0.0118,False,False
1d,NZDUSD,USDJPY,3,-0.025967,-0.028332,-0.0911,False,False
1d,USDCAD,EURUSD,3,-0.025593,-0.024042,0.0606,False,False
1d,EURJPY,USDJPY,3,-0.025547,-0.021934,0.1414,False,False
1d,GBPJPY,EURUSD,6,-0.025467,-0.02683,-0.0535,False,False
1d,EURGBP,USDJPY,12,0.025423,0.02424,0.0465,False,False
1d,NZDUSD,USDJPY,10,-0.024987,-0.024948,0.0016,False,False
1d,USDCAD,USDJPY,8,0.024977,0.022826,0.0861,False,False
1d,USDJPY,EURUSD,10,0.024944,0.026641,-0.068,False,False
1d,NZDUSD,EURUSD,5,-0.02484,-0.01998,0.1957,False,False
1d,USDJPY,EURUSD,3,0.024743,0.022614,0.086,False,False
1d,EURCHF,USDJPY,10,-0.024719,-0.015243,0.3833,False,False
1d,AUDUSD,USDJPY,9,0.024695,0.022157,0.1028,False,False
1d,USDCAD,USDJPY,6,-0.024379,-0.026055,-0.0687,False,False
1d,AUDUSD,USDJPY,1,-0.024349,-0.026173,-0.0749,False,False
1d,GBPJPY,USDJPY,12,-0.024145,-0.023283,0.0357,False,False
1d,USDCHF,EURUSD,4,-0.023884,-0.011656,0.512,False,False
1d,USDCHF,EURUSD,3,0.023868,0.017602,0.2625,False,False
1d,AUDUSD,EURUSD,3,0.0236,0.023485,0.0049,False,False
1d,USDCAD,EURUSD,7,0.023371,0.02304,0.0142,False,False
1d,USDJPY,EURUSD,11,-0.023063,-0.021902,0.0503,False,False
1d,AUDUSD,USDJPY,6,0.023057,0.024172,-0.0484,False,False
1d,AUDJPY,USDJPY,9,0.02305,0.022257,0.0344,False,False
1d,EURCHF,EURUSD,4,-0.022921,-0.008216,0.6416,False,False
1d,AUDUSD,EURUSD,6,-0.022848,-0.023118,-0.0118,False,False
1d,NZDUSD,USDJPY,5,0.022533,0.021086,0.0642,False,False
1d,USDCHF,USDJPY,8,0.022243,0.011407,0.4872,False,False
1d,EURCHF,USDJPY,6,0.022214,0.002536,0.8858,False,False
1d,AUDJPY,EURUSD,9,-0.022049,-0.024654,-0.1181,False,False
1d,USDCAD,USDJPY,7,-0.021909,-0.019875,0.0928,False,False
1d,EURCHF,USDJPY,12,-0.021718,-0.030385,-0.3991,False,False
1d,EURCHF,USDJPY,4,0.021709,0.005901,0.7282,False,False
1d,GBPJPY,EURUSD,7,-0.021698,-0.025693,-0.1841,False,False
1d,USDCHF,EURUSD,10,0.021635,0.040225,-0.8593,False,False
1d,EURJPY,USDJPY,10,-0.021608,-0.019114,0.1154,False,False
1d,AUDUSD,USDJPY,3,-0.021448,-0.023348,-0.0886,False,False
1d,NZDUSD,EURUSD,9,-0.021048,-0.021292,-0.0116,False,False
1d,GBPJPY,USDJPY,2,0.020888,0.01967,0.0583,False,False
