horizon,lead,lagging,lag,rho,rho_without_shock,share_of_rho_from_the_shock,survives,survives_without_shock
1h,USDJPY,AUDJPY,5,-0.014455,-0.014944,-0.0338,True,True
1h,USDCHF,NZDUSD,3,-0.014423,0.000358,0.9752,True,False
1h,EURJPY,EURCHF,5,-0.014351,-0.019057,-0.3279,True,True
1h,USDCHF,AUDUSD,3,-0.014309,-0.001845,0.8711,True,False
1h,GBPJPY,USDCHF,12,0.014246,0.01543,-0.0831,True,True
1h,EURJPY,EURUSD,5,-0.014221,-0.015226,-0.0707,True,True
1h,AUDJPY,EURGBP,1,-0.014161,-0.014773,-0.0432,True,True
1h,AUDJPY,AUDUSD,1,-0.014107,-0.0137,0.0289,True,True
1h,NZDUSD,USDJPY,12,0.013908,0.013488,0.0302,True,True
1h,USDJPY,GBPUSD,5,-0.013888,-0.014195,-0.0221,True,True
1h,AUDJPY,USDCAD,12,0.013755,0.014847,-0.0794,True,True
1h,AUDJPY,GBPJPY,5,-0.013742,-0.013793,-0.0037,True,True
1h,EURJPY,GBPJPY,8,0.013718,0.01358,0.0101,True,True
1h,GBPJPY,EURCHF,1,0.013716,0.017174,-0.2521,True,True
1h,EURCHF,EURJPY,3,-0.013645,-0.007327,0.463,True,False
1h,EURGBP,EURJPY,1,-0.013492,-0.014088,-0.0442,True,True
1h,GBPUSD,GBPJPY,6,-0.013478,-0.013666,-0.0139,True,True
1h,GBPJPY,EURGBP,5,0.013477,0.013252,0.0167,True,True
1h,USDJPY,GBPUSD,6,-0.013384,-0.013513,-0.0096,True,True
1h,AUDJPY,NZDUSD,12,-0.013325,-0.014221,-0.0672,True,True
1h,EURCHF,USDJPY,2,0.013307,0.010377,0.2202,True,False
1h,AUDUSD,AUDJPY,1,-0.013129,-0.013152,-0.0018,True,True
1h,EURGBP,USDCAD,2,0.012977,0.012089,0.0684,True,True
1h,NZDUSD,EURGBP,4,-0.012967,-0.013077,-0.0085,True,True
1h,EURCHF,EURJPY,1,0.012941,0.002632,0.7966,True,False
1h,GBPUSD,EURGBP,12,-0.01294,-0.013008,-0.0053,True,True
1h,EURCHF,EURUSD,6,0.01293,0.005551,0.5707,True,False
1h,AUDJPY,EURCHF,1,0.012907,0.018112,-0.4033,True,True
1h,AUDUSD,USDCAD,12,0.01285,0.013789,-0.0731,True,True
1h,EURUSD,EURJPY,11,-0.012836,-0.013118,-0.022,True,True
1h,EURJPY,EURGBP,8,-0.012798,-0.012659,0.0109,True,True
1h,GBPJPY,EURCHF,5,-0.012742,-0.015594,-0.2238,True,True
1h,USDCHF,EURGBP,1,0.012716,0.006445,0.4932,True,False
1h,EURGBP,EURJPY,5,0.012702,0.012288,0.0326,True,True
1h,USDCAD,USDJPY,12,-0.012649,-0.011898,0.0594,True,False
1h,AUDJPY,GBPUSD,1,0.012591,0.012776,-0.0147,True,True
1h,EURGBP,GBPUSD,5,0.01251,0.012222,0.023,True,True
1h,EURCHF,EURUSD,7,-0.0125,-0.016,-0.28,True,True
1h,AUDJPY,GBPJPY,8,0.01243,0.012391,0.0031,True,True
1h,USDJPY,GBPUSD,1,0.012415,0.012736,-0.0259,True,True
1h,AUDUSD,NZDUSD,1,-0.012393,-0.012714,-0.0259,True,True
1h,EURJPY,USDJPY,5,-0.012292,-0.012213,0.0064,True,True
1h,EURJPY,GBPJPY,12,0.012282,0.012097,0.0151,True,False
1h,USDCHF,EURJPY,1,0.012261,0.00476,0.6118,True,False
1h,USDCHF,USDCAD,4,-0.012177,-0.001282,0.8947,True,False
1h,AUDJPY,NZDUSD,1,-0.012092,-0.012234,-0.0117,True,True
1h,AUDJPY,EURCHF,4,-0.012055,-0.010267,0.1483,True,False
1h,EURUSD,GBPUSD,7,-0.012051,-0.012152,-0.0084,True,False
1h,EURUSD,GBPJPY,5,-0.012015,-0.012017,-0.0002,True,False
1h,AUDUSD,GBPUSD,4,0.012012,0.012151,-0.0116,True,True
1h,EURCHF,USDJPY,4,-0.011778,-0.005319,0.5484,True,False
1h,USDCAD,GBPJPY,1,-0.011727,-0.011185,0.0462,True,False
1h,GBPUSD,EURGBP,1,0.011682,0.011465,0.0186,True,False
4h,USDCHF,EURCHF,7,0.09479,0.00499,0.9474,True,False
4h,EURCHF,USDCHF,1,-0.077655,-0.006861,0.9116,True,False
4h,EURCHF,USDCHF,2,0.069603,0.000726,0.9896,True,False
4h,USDCHF,EURCHF,1,-0.064614,-0.003973,0.9385,True,False
4h,EURCHF,USDCHF,7,0.060317,-0.004987,0.9173,True,False
4h,USDCHF,EURCHF,2,0.052026,-0.00828,0.8408,True,False
4h,GBPJPY,EURJPY,1,-0.048367,-0.049287,-0.019,True,True
4h,AUDJPY,EURCHF,10,0.042186,0.025766,0.3892,True,False
4h,USDCHF,EURCHF,3,0.042075,0.005234,0.8756,True,False
4h,EURJPY,EURCHF,10,0.041057,0.021713,0.4711,True,False
4h,EURCHF,EURUSD,8,-0.039156,-0.019855,0.4929,True,False
4h,USDCAD,GBPUSD,5,-0.038123,-0.03753,0.0156,True,True
4h,USDJPY,NZDUSD,10,-0.037125,-0.035947,0.0317,True,True
4h,GBPJPY,EURCHF,10,0.037054,0.01924,0.4808,True,False
4h,USDJPY,EURCHF,10,0.035663,0.018121,0.4919,True,False
4h,AUDJPY,EURJPY,1,-0.034825,-0.035172,-0.01,True,True
4h,EURCHF,USDCHF,3,0.034176,-0.011978,0.6495,True,False
4h,GBPUSD,EURJPY,1,-0.033406,-0.033181,0.0067,True,True
4h,USDJPY,GBPUSD,12,0.033253,0.033289,-0.0011,False,False
4h,USDCAD,USDCHF,11,0.033184,0.023668,0.2868,True,False
4h,USDCHF,EURCHF,8,-0.032651,-0.006869,0.7896,True,False
4h,USDJPY,USDCHF,10,0.032438,0.016389,0.4948,True,False
4h,GBPUSD,EURGBP,12,0.030698,0.031063,-0.0119,False,False
4h,NZDUSD,AUDUSD,6,-0.030433,-0.03057,-0.0045,True,False
4h,GBPUSD,EURUSD,1,-0.030305,-0.02949,0.0269,True,True
4h,AUDJPY,EURCHF,1,-0.030187,-0.026371,0.1264,True,False
4h,GBPJPY,EURUSD,1,-0.03009,-0.030782,-0.023,True,True
4h,USDCAD,USDCHF,5,0.030061,0.033576,-0.1169,True,True
4h,USDCHF,NZDUSD,12,0.029826,0.029443,0.0128,False,False
4h,AUDUSD,USDCHF,5,-0.029561,-0.027648,0.0647,True,False
4h,EURJPY,GBPJPY,1,-0.02954,-0.030053,-0.0174,True,True
4h,EURJPY,EURUSD,1,-0.029105,-0.030946,-0.0633,True,True
4h,EURUSD,EURGBP,12,0.028972,0.027814,0.04,False,False
4h,AUDUSD,EURGBP,1,-0.028856,-0.028488,0.0128,True,True
4h,USDCAD,EURUSD,5,-0.028772,-0.028398,0.013,True,False
4h,EURCHF,EURUSD,7,0.02866,5.8e-05,0.998,False,False
4h,EURUSD,EURGBP,9,-0.02817,-0.027979,0.0068,False,False
4h,NZDUSD,GBPUSD,5,0.02814,0.02832,-0.0064,False,False
4h,USDCHF,GBPUSD,12,0.02809,0.027664,0.0152,False,False
4h,USDCHF,AUDUSD,12,0.02783,0.027979,-0.0054,False,False
1d,USDCAD,USDCHF,1,0.083994,0.099934,-0.1898,True,True
1d,EURCHF,EURUSD,5,0.104483,0.053699,0.4861,True,False
1d,USDCHF,EURUSD,5,0.083678,0.038739,0.537,True,False
1d,USDCHF,EURCHF,7,-0.080077,-0.015096,0.8115,True,False
1d,USDCAD,EURUSD,1,-0.073117,-0.073408,-0.004,False,False
1d,USDCAD,GBPUSD,1,-0.071305,-0.071225,0.0011,False,False
1d,GBPJPY,AUDUSD,8,-0.070565,-0.070216,0.0049,False,False
1d,EURCHF,USDCHF,2,-0.069325,-0.014916,0.7848,False,False
1d,EURUSD,NZDUSD,4,0.068257,0.065497,0.0404,False,False
1d,GBPUSD,AUDUSD,6,-0.067169,-0.066883,0.0043,False,False
1d,USDCHF,NZDUSD,3,0.065747,0.051034,0.2238,False,False
1d,EURJPY,EURGBP,10,-0.064799,-0.063328,0.0227,False,False
1d,USDCHF,EURUSD,6,0.063932,0.043334,0.3222,False,False
1d,AUDJPY,AUDUSD,8,-0.062988,-0.062535,0.0072,False,False
1d,EURJPY,EURGBP,4,-0.062592,-0.060218,0.0379,False,False
1d,GBPJPY,AUDJPY,8,-0.061944,-0.062805,-0.0139,False,False
1d,USDCHF,EURCHF,2,-0.061794,0.020749,0.6642,False,False
1d,NZDUSD,GBPJPY,12,-0.061495,-0.060402,0.0178,False,False
1d,EURCHF,EURGBP,5,0.059619,0.024929,0.5819,False,False
