horizon,lead,lagging,lag,rho,edge_bp,cost_bp_at_1.5x,pays,qualifies
1h,EURCHF,USDJPY,4,-0.011778,0.13504,1.09233,False,False
1h,USDCAD,GBPJPY,1,-0.011727,0.17044,2.23965,False,False
1h,GBPUSD,EURGBP,1,0.011682,0.11812,2.30898,False,False
4h,USDCHF,EURCHF,7,0.09479,1.8332,2.32497,False,False
4h,EURCHF,USDCHF,1,-0.077655,1.85819,2.38481,False,False
4h,EURCHF,USDCHF,2,0.069603,1.66551,2.38481,False,False
4h,USDCHF,EURCHF,1,-0.064614,1.2496,2.32497,False,False
4h,EURCHF,USDCHF,7,0.060317,1.44331,2.38481,False,False
4h,USDCHF,EURCHF,2,0.052026,1.00616,2.32497,False,False
4h,GBPJPY,EURJPY,1,-0.048367,1.16322,1.52909,False,False
4h,AUDJPY,EURCHF,10,0.042186,0.81587,2.32497,False,False
4h,USDCHF,EURCHF,3,0.042075,0.81372,2.32497,False,False
4h,EURJPY,EURCHF,10,0.041057,0.79402,2.32497,False,False
4h,EURCHF,EURUSD,8,-0.039156,0.80656,1.00943,False,False
4h,USDCAD,GBPUSD,5,-0.038123,0.92279,1.69655,False,False
4h,USDJPY,NZDUSD,10,-0.037125,1.01529,3.54177,False,False
4h,GBPJPY,EURCHF,10,0.037054,0.7166,2.32497,False,False
4h,USDJPY,EURCHF,10,0.035663,0.68972,2.32497,False,False
4h,AUDJPY,EURJPY,1,-0.034825,0.83753,1.52909,False,False
4h,EURCHF,USDCHF,3,0.034176,0.81779,2.38481,False,False
4h,GBPUSD,EURJPY,1,-0.033406,0.80341,1.52909,False,False
4h,USDJPY,GBPUSD,12,0.033253,0.80491,1.69655,False,False
4h,USDCAD,USDCHF,11,0.033184,0.79405,2.38481,False,False
4h,USDCHF,EURCHF,8,-0.032651,0.63145,2.32497,False,False
4h,USDJPY,USDCHF,10,0.032438,0.7762,2.38481,False,False
4h,GBPUSD,EURGBP,12,0.030698,0.60775,2.41279,False,False
4h,NZDUSD,AUDUSD,6,-0.030433,0.81356,3.01132,False,False
4h,GBPUSD,EURUSD,1,-0.030305,0.62425,1.00943,False,False
4h,AUDJPY,EURCHF,1,-0.030187,0.58381,2.32497,False,False
4h,GBPJPY,EURUSD,1,-0.03009,0.61983,1.00943,False,False
4h,USDCAD,USDCHF,5,0.030061,0.71932,2.38481,False,False
4h,USDCHF,NZDUSD,12,0.029826,0.81567,3.54177,False,False
4h,AUDUSD,USDCHF,5,-0.029561,0.70736,2.38481,False,False
4h,EURJPY,GBPJPY,1,-0.02954,0.8648,2.35079,False,False
4h,EURJPY,EURUSD,1,-0.029105,0.59953,1.00943,False,False
4h,EURUSD,EURGBP,12,0.028972,0.57357,2.41279,False,False
4h,AUDUSD,EURGBP,1,-0.028856,0.57127,2.41279,False,False
4h,USDCAD,EURUSD,5,-0.028772,0.59268,1.00943,False,False
4h,EURCHF,EURUSD,7,0.02866,0.59036,1.00943,False,False
4h,EURUSD,EURGBP,9,-0.02817,0.55769,2.41279,False,False
4h,NZDUSD,GBPUSD,5,0.02814,0.68115,1.69655,False,False
4h,USDCHF,GBPUSD,12,0.02809,0.67993,1.69655,False,False
4h,USDCHF,AUDUSD,12,0.02783,0.74397,3.01132,False,False
1d,USDCAD,USDCHF,1,0.083994,4.97834,2.37564,True,True
1d,EURCHF,EURUSD,5,0.104483,5.10822,0.99802,True,False
1d,USDCHF,EURUSD,5,0.083678,4.09104,0.99802,True,False
1d,USDCHF,EURCHF,7,-0.080077,3.98495,2.29257,True,False
1d,USDCAD,EURUSD,1,-0.073117,3.57472,0.99802,True,False
1d,USDCAD,GBPUSD,1,-0.071305,4.16409,1.64909,True,False
1d,GBPJPY,AUDUSD,8,-0.070565,4.48751,2.96589,True,False
1d,EURCHF,USDCHF,2,-0.069325,4.10889,2.37564,True,False
1d,EURUSD,NZDUSD,4,0.068257,4.48612,3.49234,True,False
1d,GBPUSD,AUDUSD,6,-0.067169,4.27155,2.96589,True,False
1d,USDCHF,NZDUSD,3,0.065747,4.32113,3.49234,True,False
1d,EURJPY,EURGBP,10,-0.064799,3.10057,2.35259,True,False
1d,USDCHF,EURUSD,6,0.063932,3.12567,0.99802,True,False
1d,AUDJPY,AUDUSD,8,-0.062988,4.00569,2.96589,True,False
1d,EURJPY,EURGBP,4,-0.062592,2.99498,2.35259,True,False
1d,GBPJPY,AUDJPY,8,-0.061944,4.4646,2.06765,True,False
1d,USDCHF,EURCHF,2,-0.061794,3.07515,2.29257,True,False
1d,NZDUSD,GBPJPY,12,-0.061495,4.26851,2.32688,True,False
1d,EURCHF,EURGBP,5,0.059619,2.85275,2.35259,True,False
1d,GBPUSD,USDJPY,12,-0.059517,3.34133,1.13462,True,False
1d,USDJPY,AUDUSD,8,-0.059137,3.76077,2.96589,True,False
1d,USDCAD,EURJPY,4,0.05909,3.35186,1.46256,True,False
1d,EURCHF,USDCHF,7,-0.057853,3.42894,2.37564,True,False
1d,EURJPY,AUDJPY,8,-0.057709,4.15939,2.06765,True,False
1d,NZDUSD,EURJPY,12,-0.05769,3.27246,1.46256,True,False
1d,USDCHF,AUDUSD,5,0.056422,3.58814,2.96589,True,False
1d,USDCAD,EURGBP,3,-0.056236,2.69086,2.35259,True,False
1d,EURJPY,AUDUSD,8,-0.05618,3.57272,2.96589,True,False
1d,USDCHF,USDCAD,3,-0.055454,2.51566,1.91662,True,False
