pair,utc_hour,mean_abs_bp
NZDUSD,14,14.1229
NZDUSD,15,12.2702
NZDUSD,16,9.1168
NZDUSD,17,7.9949
NZDUSD,18,8.816
NZDUSD,19,7.9706
NZDUSD,20,6.5652
NZDUSD,21,6.501
NZDUSD,22,7.4046
NZDUSD,23,7.6582
USDCAD,0,5.1397
USDCAD,1,5.3868
USDCAD,2,4.4447
USDCAD,3,3.5839
USDCAD,4,3.1395
USDCAD,5,3.8235
USDCAD,6,5.3681
USDCAD,7,6.9267
USDCAD,8,6.9686
USDCAD,9,6.2004
USDCAD,10,5.7457
USDCAD,11,6.3698
USDCAD,12,9.8953
USDCAD,13,11.023
USDCAD,14,12.2741
USDCAD,15,10.8302
USDCAD,16,7.8724
USDCAD,17,6.8639
USDCAD,18,7.0864
USDCAD,19,6.3287
USDCAD,20,5.2715
USDCAD,21,3.5623
USDCAD,22,3.4743
USDCAD,23,3.771
USDCHF,0,5.2661
USDCHF,1,4.9376
USDCHF,2,4.3999
USDCHF,3,3.6726
USDCHF,4,3.4188
USDCHF,5,3.9941
USDCHF,6,6.5138
USDCHF,7,9.6576
USDCHF,8,9.5634
USDCHF,9,9.0584
USDCHF,10,7.6712
USDCHF,11,7.5708
USDCHF,12,10.6329
USDCHF,13,11.3152
USDCHF,14,12.003
USDCHF,15,10.4016
USDCHF,16,7.7912
USDCHF,17,6.9906
USDCHF,18,6.6712
USDCHF,19,5.8534
USDCHF,20,4.4713
USDCHF,21,3.3793
USDCHF,22,3.38
USDCHF,23,3.4992
USDJPY,0,9.4552
USDJPY,1,8.2771
USDJPY,2,6.4277
USDJPY,3,5.6307
USDJPY,4,5.7275
USDJPY,5,5.8279
USDJPY,6,7.0634
USDJPY,7,8.4721
USDJPY,8,7.9399
USDJPY,9,6.8441
USDJPY,10,6.0379
USDJPY,11,6.347
USDJPY,12,10.1495
USDJPY,13,10.7169
USDJPY,14,10.9213
USDJPY,15,9.6127
USDJPY,16,6.9786
USDJPY,17,6.4293
USDJPY,18,6.5561
USDJPY,19,5.6777
USDJPY,20,4.6405
USDJPY,21,3.5491
USDJPY,22,4.8766
USDJPY,23,6.1594
