pair,year,median_spread_pips_in_band,hours_in_band,median_spread_pips_uncontrolled
GBPJPY,2007,4.3741,2694,4.1794
GBPJPY,2008,4.425,3074,4.608
GBPJPY,2009,3.3863,3699,3.634
GBPJPY,2010,2.8534,3674,2.8876
GBPJPY,2011,2.3808,4049,2.5014
GBPJPY,2012,1.9205,3229,1.9791
GBPJPY,2013,1.8826,4439,1.9509
GBPJPY,2014,1.282,3767,1.3748
GBPJPY,2015,1.808,4659,1.8434
GBPJPY,2016,1.7856,4062,1.7762
GBPJPY,2017,1.3219,5034,1.343
GBPJPY,2018,1.359,4949,1.3753
GBPJPY,2019,1.5525,3901,1.6048
GBPJPY,2020,1.5067,3938,1.5646
GBPJPY,2021,1.3679,3863,1.4089
GBPJPY,2022,2.3172,3562,2.4075
GBPJPY,2023,2.106,3817,2.186
GBPJPY,2024,2.0077,3924,2.0794
GBPJPY,2025,2.3193,662,2.3583
GBPUSD,2005,1.684,259,1.7742
GBPUSD,2006,1.6839,260,1.7741
GBPUSD,2007,1.7716,2101,1.8352
GBPUSD,2008,1.8942,2541,2.2223
GBPUSD,2009,1.7049,3091,1.891
GBPUSD,2010,1.7211,2875,1.8291
GBPUSD,2011,1.5158,3916,1.6837
GBPUSD,2012,1.347,2692,1.489
GBPUSD,2013,0.7889,2390,0.9027
GBPUSD,2014,0.8212,2144,0.9051
GBPUSD,2015,0.8593,3367,0.9519
GBPUSD,2016,0.9695,3513,1.0432
GBPUSD,2017,0.6935,3645,0.7515
GBPUSD,2018,0.7902,3876,0.8292
GBPUSD,2019,0.936,3130,0.9911
GBPUSD,2020,0.8992,3482,0.9796
GBPUSD,2021,0.7314,2685,0.7832
GBPUSD,2022,1.007,3584,1.0693
GBPUSD,2023,0.9184,3652,0.973
GBPUSD,2024,0.7863,2903,0.7997
GBPUSD,2025,0.8885,627,0.9138
NZDUSD,2005,,0,3.7749
NZDUSD,2006,,0,3.7729
NZDUSD,2007,3.6893,949,3.7687
NZDUSD,2008,3.7543,664,3.7881
NZDUSD,2009,2.3981,295,2.9545
NZDUSD,2010,2.2515,490,2.2817
NZDUSD,2011,1.9099,1389,2.1163
NZDUSD,2012,1.4864,2270,1.533
NZDUSD,2013,1.74,1049,1.626
NZDUSD,2014,1.308,981,1.1955
NZDUSD,2015,1.2316,1794,1.2609
NZDUSD,2016,1.0901,3165,1.1661
NZDUSD,2017,0.8671,1750,0.8701
NZDUSD,2018,0.8999,1571,0.9236
NZDUSD,2019,0.9823,1515,1.0083
NZDUSD,2020,1.1437,1981,1.1409
NZDUSD,2021,1.0939,1479,1.1237
NZDUSD,2022,1.3646,3434,1.3775
NZDUSD,2023,1.1629,2216,1.1505
NZDUSD,2024,1.0269,1213,1.0131
NZDUSD,2025,1.0583,247,1.0635
USDCAD,2005,,0,2.1786
USDCAD,2006,,0,2.178
USDCAD,2007,2.1855,1276,2.2383
USDCAD,2008,2.3714,946,2.992
USDCAD,2009,2.308,1290,3.088
USDCAD,2010,1.8335,1636,2.033
USDCAD,2011,1.4713,1970,1.6497
USDCAD,2012,1.186,2044,1.2268
USDCAD,2013,1.1102,475,1.1576
USDCAD,2014,0.8427,613,0.8795
USDCAD,2015,1.0248,2581,1.1261
USDCAD,2016,1.0212,3541,1.0435
USDCAD,2017,0.7863,3193,0.8291
USDCAD,2018,0.9442,2886,0.9743
USDCAD,2019,1.072,2760,1.1086
USDCAD,2020,1.0965,3085,1.1308
USDCAD,2021,1.0587,2063,1.0921
USDCAD,2022,1.3622,3589,1.4225
USDCAD,2023,1.2293,2300,1.2486
USDCAD,2024,1.1609,2354,1.1849
