pair,q,vr,z,p_value
AUDJPY,2,0.99263,-0.723,0.4699426731
AUDJPY,4,0.98262,-0.975,0.3295544741
AUDJPY,8,0.96332,-1.343,0.1791883253
AUDJPY,16,0.94513,-1.47,0.1416495824
AUDJPY,32,0.90929,-1.872,0.0611531399
AUDUSD,2,0.98459,-1.709,0.0874564898
AUDUSD,4,0.98131,-1.232,0.2179810468
AUDUSD,8,0.97759,-1.018,0.3084494236
AUDUSD,16,0.94816,-1.685,0.092041955
AUDUSD,32,0.9452,-1.325,0.1851325349
EURCHF,2,0.94461,-1.854,0.0637832791
EURCHF,4,0.94463,-1.086,0.2775428374
EURCHF,8,0.91831,-1.1,0.2714184279
EURCHF,16,0.97069,-0.226,0.8215771511
EURCHF,32,1.09184,0.45,0.6524319023
EURGBP,2,0.98178,-1.942,0.0521569805
EURGBP,4,0.98526,-0.824,0.410064101
EURGBP,8,0.99146,-0.282,0.7777781677
EURGBP,16,0.96413,-0.851,0.3946549469
EURGBP,32,0.96012,-0.735,0.4624510421
EURJPY,2,1.00858,0.795,0.4265526027
EURJPY,4,1.01027,0.525,0.5993256077
EURJPY,8,0.99486,-0.161,0.8723412075
EURJPY,16,0.97645,-0.533,0.5941087654
EURJPY,32,0.96429,-0.648,0.5173040692
EURUSD,2,1.00152,0.193,0.8469661454
EURUSD,4,1.0078,0.559,0.5763811727
EURUSD,8,1.00496,0.243,0.8083000159
EURUSD,16,0.95994,-1.46,0.1443060992
EURUSD,32,0.97772,-0.63,0.5289525572
GBPJPY,2,1.01384,0.807,0.4194718939
GBPJPY,4,1.02758,0.863,0.3883146882
GBPJPY,8,1.01683,0.3,0.7640993665
GBPJPY,16,1.00547,0.071,0.9431627008
GBPJPY,32,0.98154,-0.198,0.843253807
GBPUSD,2,0.99905,-0.074,0.9411714029
GBPUSD,4,1.01071,0.453,0.6508132081
GBPUSD,8,1.01343,0.338,0.7352602436
GBPUSD,16,0.97973,-0.372,0.7099089195
GBPUSD,32,0.98094,-0.281,0.778431377
NZDUSD,2,0.98045,-2.636,0.008394292
NZDUSD,4,0.98133,-1.448,0.1475999398
NZDUSD,8,0.9829,-0.901,0.367371726
NZDUSD,16,0.95204,-1.797,0.0723220512
NZDUSD,32,0.96571,-0.94,0.347105412
USDCAD,2,0.9907,-1.299,0.1938045149
USDCAD,4,0.98786,-0.954,0.3400811353
USDCAD,8,0.98476,-0.827,0.4084508902
USDCAD,16,0.94814,-2.109,0.0349651494
USDCAD,32,0.97251,-0.849,0.3956712786
USDCHF,2,0.95231,-1.834,0.0666235373
USDCHF,4,0.95573,-1.027,0.3044952259
USDCHF,8,0.93279,-1.079,0.2805841483
USDCHF,16,0.9451,-0.538,0.5905941368
USDCHF,32,1.0421,0.28,0.7796912986
USDJPY,2,1.00881,0.939,0.3477404
USDJPY,4,1.0192,1.139,0.2548549175
USDJPY,8,1.02063,0.818,0.413100733
USDJPY,16,1.00688,0.205,0.8377403742
USDJPY,32,1.02162,0.503,0.6146936474
