pair,q,vr,z,p_value
AUDJPY,2,0.99505,-0.59,0.5552615306
AUDJPY,4,0.9891,-0.728,0.4664316026
AUDJPY,8,0.98474,-0.712,0.4763672028
AUDJPY,16,0.96816,-1.095,0.2736307641
AUDJPY,32,0.95106,-1.303,0.1925130604
AUDUSD,2,0.98637,-2.192,0.0283694169
AUDUSD,4,0.97589,-2.143,0.0321441474
AUDUSD,8,0.97673,-1.422,0.1551376304
AUDUSD,16,0.97216,-1.242,0.2141871611
AUDUSD,32,0.94405,-1.847,0.06475109
EURCHF,2,0.92377,-1.996,0.0459341233
EURCHF,4,0.90286,-1.632,0.1027437188
EURCHF,8,0.91287,-1.164,0.2442293454
EURCHF,16,0.89179,-1.149,0.2505863001
EURCHF,32,0.94739,-0.388,0.6979303577
EURGBP,2,0.9728,-3.183,0.0014568615
EURGBP,4,0.96164,-2.447,0.0144125008
EURGBP,8,0.96722,-1.311,0.1897823844
EURGBP,16,0.97073,-0.821,0.4115774493
EURGBP,32,0.9434,-1.217,0.2236618149
EURJPY,2,1.00758,0.813,0.4161142942
EURJPY,4,1.0181,1.169,0.2425270976
EURJPY,8,1.02281,1.078,0.2809189064
EURJPY,16,1.01193,0.416,0.677307061
EURJPY,32,0.99355,-0.174,0.8618915823
EURUSD,2,0.98866,-2.056,0.039745556
EURUSD,4,0.98926,-1.038,0.2993132734
EURUSD,8,0.99771,-0.148,0.8825271295
EURUSD,16,0.99643,-0.169,0.8660927771
EURUSD,32,0.95387,-1.676,0.0938164034
GBPJPY,2,1.01417,0.851,0.3948820669
GBPJPY,4,1.03512,1.303,0.1926760686
GBPJPY,8,1.0556,1.495,0.1348194399
GBPJPY,16,1.04595,0.888,0.3747321504
GBPJPY,32,1.03237,0.492,0.6230143021
GBPUSD,2,0.9932,-0.592,0.5540729559
GBPUSD,4,1.00001,0.0,0.9997733347
GBPUSD,8,1.01781,0.642,0.5207057381
GBPUSD,16,1.01858,0.481,0.6305808922
GBPUSD,32,0.98484,-0.304,0.7614748294
NZDUSD,2,0.97432,-4.918,8.759e-07
NZDUSD,4,0.95878,-4.268,1.97429e-05
NZDUSD,8,0.96143,-2.687,0.0072177527
NZDUSD,16,0.96295,-1.872,0.0611686691
NZDUSD,32,0.93388,-2.467,0.013629131
USDCAD,2,0.98154,-3.618,0.0002965629
USDCAD,4,0.97038,-3.113,0.0018543776
USDCAD,8,0.96903,-2.16,0.0307828511
USDCAD,16,0.96549,-1.755,0.0793036287
USDCAD,32,0.93011,-2.734,0.0062570384
USDCHF,2,0.94112,-2.027,0.0427081534
USDCHF,4,0.92032,-1.779,0.0752901362
USDCHF,8,0.92946,-1.261,0.207471185
USDCHF,16,0.9115,-1.237,0.2162144915
USDCHF,32,0.92797,-0.712,0.4765299309
USDJPY,2,1.00574,0.805,0.4208186817
USDJPY,4,1.01252,0.963,0.3357649233
USDJPY,8,1.02096,1.104,0.2697872903
USDJPY,16,1.02513,0.973,0.3307289681
USDJPY,32,1.01019,0.305,0.7600841204
